ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
4,Good sound quality,RR9HI6GEHSCQ8,https://www.amazon.in/gp/customer-reviews/RR9HI6GEHSCQ8/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Sound quality is too good but the loudness is not upto the mark,[],2024-08-29,75,"Colour: Play(Black), Style Name: PLAY",
4,Good sound quality,RMW4KNRS0T9B2,https://www.amazon.in/gp/customer-reviews/RMW4KNRS0T9B2/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"It's been 4 month, didn't get any issue. Sound quality is good. Battery back up is decent. Overall it's all good",[],2024-08-23,76,"Colour: Play (Green), Style Name: PLAY",
4,Good,R3SQXK232O84PT,https://www.amazon.in/gp/customer-reviews/R3SQXK232O84PT/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Good,[],2024-09-08,77,"Colour: Play(Black), Style Name: PLAY",
5,Value for money,R3N8I68FCP2KJF,https://www.amazon.in/gp/customer-reviews/R3N8I68FCP2KJF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,I really like this product And I continuously use in one and half year this product.. 💯good sound quality💯 and we can use in long time,['https://m.media-amazon.com/images/I/61Im87hraQL._SY88.jpg'],2024-11-15,78,"Colour: Play (Turquoise), Style Name: PLAY",
4,Speakers,R595V6W4XJ6M5,https://www.amazon.in/gp/customer-reviews/R595V6W4XJ6M5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Only for room not for hall ... N corner m rakhne se sound loud hota h,[],2024-08-17,79,"Colour: Play(Black), Style Name: PLAY",
4,Good one,R3H2DZI4GBISIE,https://www.amazon.in/gp/customer-reviews/R3H2DZI4GBISIE/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Good one 👍,[],2024-08-31,80,"Colour: Play (Green), Style Name: PLAY",
4,Mi vi speaker,R2O9F661KDZMCE,https://www.amazon.in/gp/customer-reviews/R2O9F661KDZMCE/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Good speaker at this price range,[],2024-10-05,57,"Colour: Play (Turquoise), Style Name: PLAY",
5,Brilliant and crystal clear sound 🔥 Great Speaker under 700,R3ABI0ZURHPRVG,https://www.amazon.in/gp/customer-reviews/R3ABI0ZURHPRVG/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Made in hyderabad 🔥Worthy productSound is crystal clear even in high volumes.Brilliant performanceMicro usb port ChargingWeight is decent and CompactAux cable provided",[],2024-12-19,58,"Colour: Play (White), Style Name: PLAY",
4,Buy for batter sound quality not for loudness,R2PEUJDBGRRDE2,https://www.amazon.in/gp/customer-reviews/R2PEUJDBGRRDE2/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Everything is good apart loudness. Looks very premium. Best battery life in this price. Must buy for sound quality.,[],2024-09-19,59,"Colour: Play(Black), Style Name: PLAY",
3,Good,R1REWZWLARRC45,https://www.amazon.in/gp/customer-reviews/R1REWZWLARRC45/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Sound quality,[],2024-11-14,60,"Colour: Play (Green), Style Name: PLAY",
