reviewedIn,userId,userProfileLink,ratingScore,reviewTitle,reviewId,reviewUrl,reviewReaction,reviewDescription,isVerified,isAmazonVine,reviewImages,date,position,variant,variantAttributes,totalCategoryRatings,totalCategoryReviews,reviewCategoryUrl,filterByRating,filterByKeyword,productAsin,productOriginalAsin,variantAsin,product,input,country,countryCode
Reviewed in India on 25 January 2025,amzn1.account.AH23PC4DIRLYW7QQTE6G7H7YRITQ,https://www.amazon.in/gp/profile/amzn1.account.AH23PC4DIRLYW7QQTE6G7H7YRITQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good product,R7AA1NIFWCLE3,https://www.amazon.in/gp/customer-reviews/R7AA1NIFWCLE3/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,,Good bass 💪 value for money,True,False,['https://m.media-amazon.com/images/I/71N55BBjo5L._SY88.jpg'],2025-01-25,1,Colour: 90W Black,"[{'key': 'Colour', 'value': '90W Black'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 10 January 2025,amzn1.account.AG4W4MIF4P5RHOCZ55AARBYW52GQ,https://www.amazon.in/gp/profile/amzn1.account.AG4W4MIF4P5RHOCZ55AARBYW52GQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Worth a price,R1VKTTZ5VJ3PZB,https://www.amazon.in/gp/customer-reviews/R1VKTTZ5VJ3PZB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,One person found this helpful,Super product.bass is great..I love it..,True,False,[],2025-01-10,2,Colour: 90W Black,"[{'key': 'Colour', 'value': '90W Black'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 30 August 2024,amzn1.account.AECTRVBD6MRN7KWUI6U67ABXTJXQ,https://www.amazon.in/gp/profile/amzn1.account.AECTRVBD6MRN7KWUI6U67ABXTJXQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,BASS is powerful,R27N7K74U1JQTL,https://www.amazon.in/gp/customer-reviews/R27N7K74U1JQTL/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,4 people found this helpful,"Highest BASS, clear sound, feel definitely a theatre experience, but improve more in sound technology in this music system, but our money is worth.. if your house in baby please hear low sound, it cause hearing problem in baby, bass is very high!!!",True,False,['https://m.media-amazon.com/images/I/61tdAwcoXdL._SY88.jpg'],2024-08-30,3,"Colour: Black, 60W","[{'key': 'Colour', 'value': 'Black, 60W'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 18 January 2025,amzn1.account.AFQTDNSPMJIDWVBPD5GFYEU6Z6HA,https://www.amazon.in/gp/profile/amzn1.account.AFQTDNSPMJIDWVBPD5GFYEU6Z6HA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Not working properly with Aux,R169DVU2JZIN7V,https://www.amazon.in/gp/customer-reviews/R169DVU2JZIN7V/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,,"Worst product, not working with aux connectivity tried on pc and multiple mobiles, even I changed Aux cable as well. Still not working. After aux connection plays for few seconds only and automatically stops playing. Very much disappointed. I can't replace it because Amazon replacement is not applicable on this product very disappointed.",True,False,[],2025-01-18,4,"Colour: Black, 120W","[{'key': 'Colour', 'value': 'Black, 120W'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 21 December 2017,amzn1.account.AGATOVWY2UXBHBE4UNTYYVCHXY4A,https://www.amazon.in/gp/profile/amzn1.account.AGATOVWY2UXBHBE4UNTYYVCHXY4A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,3,Overall a good product with minor flaws. Value for money,R8DOK9SNE7637,https://www.amazon.in/gp/customer-reviews/R8DOK9SNE7637/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,15 people found this helpful,"Sound is good and base is more than I expected (not comparing with JBL or Creative though). Using it with my LED TV with HD STB and can experience a better feel than TV's inbuild audio system. it got a fair BT range, but sometimes it make some pairing issues (like device not showing or cannot pair) but rebooting solves it generally. Sound quality in better in BT, USB & SD card slot compared to FM or AUX i/p (that's obvious), initially sound didn't crack in the top volume which is quite high, but after almost 3months of use now i can feel bit cracking of sound in the higher range, that too negotiable. hope it wont increase it time. FM got an antenna that's a great feature but I am not getting a good FM reception may be due to the placement of the product. 1 problem I encountered was the defect in the 7segment display. A part of one of the 4 seven segment displays malfunctioned from the day 1 but I didn't want to change the entire product for this minor problem. Remote is a good option for these type of systems and its remote is good too even it got equalizer option for different genre. Another problem i feel that it does not remember its digital sound settings once its powered off and will start on the maximum possible sound output with respect to the analog sound knob's position. Overall if you are negotiable with these minor flaws and don't expect these 2000bucks speakers to be comparable with that of Bose then you can definitely enjoy action movies on HBO or Star Movies in HD or can enjoy your favorite music over BT/USB/SD. Overall value for money!",True,False,[],2017-12-21,5,"Colour: Black, 60W","[{'key': 'Colour', 'value': 'Black, 60W'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 17 January 2025,amzn1.account.AG4ZVA4XPCCWN4TB3JSC7Q3COBHQ,https://www.amazon.in/gp/profile/amzn1.account.AG4ZVA4XPCCWN4TB3JSC7Q3COBHQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Full Paisa Basool...,R3HAQXUIV93MPM,https://www.amazon.in/gp/customer-reviews/R3HAQXUIV93MPM/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,,Full Paisa basool... Sound quality is good... Everything is good in this home theatre... Nice product...,True,False,[],2025-01-17,6,"Colour: Black, 60W","[{'key': 'Colour', 'value': 'Black, 60W'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 26 December 2024,amzn1.account.AFT754R77YAH4I2IROPZELRY2Z5Q,https://www.amazon.in/gp/profile/amzn1.account.AFT754R77YAH4I2IROPZELRY2Z5Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Zebronics OMEGA 7,R3ITLQHE53QLSY,https://www.amazon.in/gp/customer-reviews/R3ITLQHE53QLSY/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,,Quality is OK... But not 120 watts output,True,False,['https://m.media-amazon.com/images/I/618vUb5D3xL._SY88.jpg'],2024-12-26,7,"Colour: Black, 120W","[{'key': 'Colour', 'value': 'Black, 120W'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 15 November 2024,amzn1.account.AGYGEFLBO2TIMK2PLGQZUXO3PMZQ,https://www.amazon.in/gp/profile/amzn1.account.AGYGEFLBO2TIMK2PLGQZUXO3PMZQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Best home theatre under 2500,R34LN5WETFPQMY,https://www.amazon.in/gp/customer-reviews/R34LN5WETFPQMY/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,2 people found this helpful,"Writing this review after 2 months of useLiterally the best home theatre. Sound quality, bass, remote working, cable quality, power all are perfect.If you keep it in hall you can feel the bass vibration in rooms it is that powerfulThis is my third zebronics product and I was never disappointedBest home theatre must buyValue for money",True,False,[],2024-11-15,8,"Colour: Black, 60W","[{'key': 'Colour', 'value': 'Black, 60W'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 30 October 2024,amzn1.account.AEO2DLK46QVCPADHOLMNRRX7CY6A,https://www.amazon.in/gp/profile/amzn1.account.AEO2DLK46QVCPADHOLMNRRX7CY6A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Very good price,R1V3CF3KY87ITY,https://www.amazon.in/gp/customer-reviews/R1V3CF3KY87ITY/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,,Very good nice product,True,False,['https://m.media-amazon.com/images/I/71NtUEzzpxL._SY88.jpg'],2024-10-30,57,Colour: 90W Black,"[{'key': 'Colour', 'value': '90W Black'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=8&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_8&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
Reviewed in India on 28 January 2025,amzn1.account.AFHJNOMIY3V5XAGHJ3HVOTVSIJZA,https://www.amazon.in/gp/profile/amzn1.account.AFHJNOMIY3V5XAGHJ3HVOTVSIJZA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Not satisfied for this,R24MGOE0DN1Z80,https://www.amazon.in/gp/customer-reviews/R24MGOE0DN1Z80/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6T54WWJ,,Sound not working and damage also so I'm disappointed ☹️,True,False,['https://m.media-amazon.com/images/I/715smplXYKL._SY88.jpg'],2025-01-28,58,"Colour: Black, 60W","[{'key': 'Colour', 'value': 'Black, 60W'}]",,,https://www.amazon.in/product-reviews/B0C6T54WWJ?pageNumber=8&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6T54WWJ&reftag=cm_cr_arp_d_paging_btm_next_8&scope=reviewsAjax0,allStars,,B0C6T54WWJ,B0C6T54WWJ,B0C6T54WWJ,"{'price': None, 'listPrice': None}",https://www.amazon.in//ZEBRONICS-Theatre-Bluetooth-Powerful-Subwoofer/dp/B0C6T54WWJ/ref=zg_bs_g_1389365031_d_sccl_28/262-4334605-4855948?psc=1,India,
