reviewedIn,userId,userProfileLink,ratingScore,reviewTitle,reviewId,reviewUrl,reviewReaction,reviewDescription,isVerified,isAmazonVine,reviewImages,date,position,variant,variantAttributes,totalCategoryRatings,totalCategoryReviews,reviewCategoryUrl,filterByRating,filterByKeyword,productAsin,productOriginalAsin,variantAsin,product,input,country,countryCode
Reviewed in India on 27 January 2025,amzn1.account.AEOJBKAYYGNDCK3FLXI53E3UPXKQ,https://www.amazon.in/gp/profile/amzn1.account.AEOJBKAYYGNDCK3FLXI53E3UPXKQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,NOISE,R3SS8NKDSWW0TB,https://www.amazon.in/gp/customer-reviews/R3SS8NKDSWW0TB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,Its hella loud and whole house vibrates,True,False,[],2025-01-27,1,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 25 January 2025,amzn1.account.AH5LA6CB23AZCUOY745MRAXFBQTA,https://www.amazon.in/gp/profile/amzn1.account.AH5LA6CB23AZCUOY745MRAXFBQTA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Not satisfactory,R2RKO7JUBY4OI1,https://www.amazon.in/gp/customer-reviews/R2RKO7JUBY4OI1/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,"Not a satisfactory product. Volume is low and also the mix is not Bluetooth one, it’s wired",True,False,[],2025-01-25,2,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 7 November 2024,amzn1.account.AHO37CJRE5JPUKB7FTM5FAOEK2HQ,https://www.amazon.in/gp/profile/amzn1.account.AHO37CJRE5JPUKB7FTM5FAOEK2HQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Awsome,R1EENEFJ54LY2R,https://www.amazon.in/gp/customer-reviews/R1EENEFJ54LY2R/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,4 people found this helpful,Awsome ...just go for it..nice sound with good bass... microphone included..battery backup is excellent.,True,False,[],2024-11-07,3,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 20 November 2024,amzn1.account.AFO6E6VXYRYVKGTKOE6S544FBXWQ,https://www.amazon.in/gp/profile/amzn1.account.AFO6E6VXYRYVKGTKOE6S544FBXWQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Very Nice Product,R2SQ1PIAFJMNTE,https://www.amazon.in/gp/customer-reviews/R2SQ1PIAFJMNTE/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,One person found this helpful,"This Is Good For Home Use. Play in Small Room For Bass Like Dj Speaker And I CheckOut One Falt in  The Speaker, The Mic Is Wired Not Wireless In This Price. Easy in Carry, Design is Good, Sound Quality Is Nice, And Battry Life Is Good Because Didn't Use The Speaker More Then 4-5 Hours.",True,False,[],2024-11-20,4,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 25 January 2025,amzn1.account.AGXC2DX5WA7Q2NZI4KFMPHY4IEPQ,https://www.amazon.in/gp/profile/amzn1.account.AGXC2DX5WA7Q2NZI4KFMPHY4IEPQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Microfone soung  is not good,R1J7E8EOIKWTIK,https://www.amazon.in/gp/customer-reviews/R1J7E8EOIKWTIK/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,Microphone me chirr chirr ki aawaj aarhi h sounga quality best h,True,False,[],2025-01-25,5,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 7 November 2024,amzn1.account.AHX34BNLJKJVI5MLUYCGYJIL53AA,https://www.amazon.in/gp/profile/amzn1.account.AHX34BNLJKJVI5MLUYCGYJIL53AA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Sound quality good but bass quality average....,R1KY8OH3RO21U9,https://www.amazon.in/gp/customer-reviews/R1KY8OH3RO21U9/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,4 people found this helpful,"The media could not be loaded.
                
            
                
            
        
    
    








  
  
     7/10",True,False,[],2024-11-07,6,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 24 January 2025,amzn1.account.AGUOYZOWJ6TK6QA4VYIG33IZPE6A,https://www.amazon.in/gp/profile/amzn1.account.AGUOYZOWJ6TK6QA4VYIG33IZPE6A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Very worst speaker I see ever,R390C1JC8DU2VW,https://www.amazon.in/gp/customer-reviews/R390C1JC8DU2VW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,Sound is too low 5 person people there that sounds is like a mobile phone please don't buy the speaker,True,False,[],2025-01-24,7,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 12 January 2025,amzn1.account.AF5Q5VM4TPL6FIHQQVV4TEXJ2R2Q,https://www.amazon.in/gp/profile/amzn1.account.AF5Q5VM4TPL6FIHQQVV4TEXJ2R2Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,2,Not worth The money..,R37T5N7J3TCB8O,https://www.amazon.in/gp/customer-reviews/R37T5N7J3TCB8O/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,Below average sound qualityPathetic bass..  Even alexa has better bass...,True,False,[],2025-01-12,8,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 24 December 2024,amzn1.account.AEG5PYEFPYTIF7ZWQUBYQCOZGOWQ,https://www.amazon.in/gp/profile/amzn1.account.AEG5PYEFPYTIF7ZWQUBYQCOZGOWQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Bass player 😅,R1WCDXMEQ7P6J3,https://www.amazon.in/gp/customer-reviews/R1WCDXMEQ7P6J3/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,3 people found this helpful,The media could not be loaded.,True,False,[],2024-12-24,17,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 21 December 2024,amzn1.account.AGHFKVACBE52OJIEDRYAPRGFTH5Q,https://www.amazon.in/gp/profile/amzn1.account.AGHFKVACBE52OJIEDRYAPRGFTH5Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,The bass,RVTE4Q4WP3BA9,https://www.amazon.in/gp/customer-reviews/RVTE4Q4WP3BA9/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,4 people found this helpful,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     The bass is crazy !!!",True,False,[],2024-12-21,18,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 18 December 2024,amzn1.account.AEJYMBQDQGLXQK25AG5YP73IHCEQ,https://www.amazon.in/gp/profile/amzn1.account.AEJYMBQDQGLXQK25AG5YP73IHCEQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Product doesn’t working,R1A6CU18R5IHDK,https://www.amazon.in/gp/customer-reviews/R1A6CU18R5IHDK/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,One person found this helpful,This Boat Partypal 300 is a piece of junk not even working yet starting from the day 1 since I have unboxed this rubbish item The customer service is terrible and unhelpful This is the absolute worst product I have ever purchased it's a complete waste of money and time i am so disappointed nd frustrated. Infact furious nd I will never buy from this company again 😡😡😡,True,False,[],2024-12-18,19,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 5 October 2024,amzn1.account.AGT3GDDFJXK7Y222TNU4OB76HCYA,https://www.amazon.in/gp/profile/amzn1.account.AGT3GDDFJXK7Y222TNU4OB76HCYA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,BoAt party pal 300,R2ZXULDJYBY1KG,https://www.amazon.in/gp/customer-reviews/R2ZXULDJYBY1KG/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,7 people found this helpful,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Very good quality and bass and vocal clear feel the sound very impressive sound 👌👌 product material finishing and quality goodMusic player ke liye bast haiMovies player ok kyunki bass High hai treble kam hai, ji bi iski bass aur treble ki setting hai us kuch janda fark nhi padta, halka fulka fark padta hai",True,False,['https://m.media-amazon.com/images/I/61CFohfgOwL._SY88.jpg'],2024-10-05,20,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 23 November 2024,amzn1.account.AFKUZ6CFJ3XHHZRDLYRU7QOHKDVQ,https://www.amazon.in/gp/profile/amzn1.account.AFKUZ6CFJ3XHHZRDLYRU7QOHKDVQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Very Goods Service Amazon Sound Is best,R2QUCZG67ZJX73,https://www.amazon.in/gp/customer-reviews/R2QUCZG67ZJX73/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,i love boat best quality good sound,True,False,[],2024-11-23,21,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 24 November 2024,amzn1.account.AHWRJ4KIKETQDG7ALEZSJIK7JMKQ,https://www.amazon.in/gp/profile/amzn1.account.AHWRJ4KIKETQDG7ALEZSJIK7JMKQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good product...,R2NGXFPSX5PB3H,https://www.amazon.in/gp/customer-reviews/R2NGXFPSX5PB3H/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,One person found this helpful,Worth for money,True,False,[],2024-11-24,22,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 19 November 2024,amzn1.account.AERT5O4V6CHVXV52RYPF7H3EZCSQ,https://www.amazon.in/gp/profile/amzn1.account.AERT5O4V6CHVXV52RYPF7H3EZCSQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Very good,R1V1DVH3CGJRUQ,https://www.amazon.in/gp/customer-reviews/R1V1DVH3CGJRUQ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,Jabardast sound System,True,False,[],2024-11-19,23,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 23 October 2024,amzn1.account.AFDNBZDB2WCXYNVB6SPMXSI5IB4Q,https://www.amazon.in/gp/profile/amzn1.account.AFDNBZDB2WCXYNVB6SPMXSI5IB4Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,2,Sound is not very loud,R11DHXD6H3P6YJ,https://www.amazon.in/gp/customer-reviews/R11DHXD6H3P6YJ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,,True,False,['https://m.media-amazon.com/images/I/81tr95Rn1KL._SY88.jpg'],2024-10-23,24,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 2 January 2025,amzn1.account.AFUIT6RTMMKY3WNMXMWWPTU53ZQQ,https://www.amazon.in/gp/profile/amzn1.account.AFUIT6RTMMKY3WNMXMWWPTU53ZQQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,About delivery,R1WJNBUNYH5IO7,https://www.amazon.in/gp/customer-reviews/R1WJNBUNYH5IO7/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,The delivery is coming very late and not properly  but my thing is in very fine condition and value for money,False,False,[],2025-01-02,73,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=10&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_10&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 21 January 2025,amzn1.account.AGEP4C3RWHC7D3H6HTMOLUIM5O3Q,https://www.amazon.in/gp/profile/amzn1.account.AGEP4C3RWHC7D3H6HTMOLUIM5O3Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Best PartyBox 👍🏻,R387KSIT7RIB24,https://www.amazon.in/gp/customer-reviews/R387KSIT7RIB24/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,The media could not be loaded.,False,False,[],2025-01-21,74,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=10&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_10&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 20 February 2024,amzn1.account.AEIZEL2LWDBIPOEN4WOJ6S4WRIFQ,https://www.amazon.in/gp/profile/amzn1.account.AEIZEL2LWDBIPOEN4WOJ6S4WRIFQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Bad experience with warranty & Customer care,RN3SSDU8LKMFZ,https://www.amazon.in/gp/customer-reviews/RN3SSDU8LKMFZ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,6th month Production sound quality Very bad,True,False,[],2024-02-20,75,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=10&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_10&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 17 November 2023,amzn1.account.AEHEHTLADH4LATFHV4EDS5J5UKEA,https://www.amazon.in/gp/profile/amzn1.account.AEHEHTLADH4LATFHV4EDS5J5UKEA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Sound quality is to low,R323MIF42NVWUV,https://www.amazon.in/gp/customer-reviews/R323MIF42NVWUV/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,3 people found this helpful,Low sound quality not expected with boatVery disappointed,True,False,[],2023-11-17,76,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=10&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_10&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 27 October 2023,amzn1.account.AE4ANTAHA35YNAOBXZ4LH67UCCVQ,https://www.amazon.in/gp/profile/amzn1.account.AE4ANTAHA35YNAOBXZ4LH67UCCVQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,It completely damage,R3EOUKLPP1F228,https://www.amazon.in/gp/customer-reviews/R3EOUKLPP1F228/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,2 people found this helpful,The media could not be loaded.,True,False,[],2023-10-27,77,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=10&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_10&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
Reviewed in India on 19 January 2025,amzn1.account.AH5LY6OM2D2WUDF3MXX4RO7OTVLA,https://www.amazon.in/gp/profile/amzn1.account.AH5LY6OM2D2WUDF3MXX4RO7OTVLA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Not good as per price,RDGCCVQFK5FL0,https://www.amazon.in/gp/customer-reviews/RDGCCVQFK5FL0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CG5XTL1R,,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Bass is not good. Sound output is like normal speakers are giving. Little Bass increase only when we increase speaker sound.. if you want to listen songs on low sound, then we get just normal sound like other speakers are given under 2 or 3k. Sound output is 120 watt but only for loudness, not for bass.Do not spent 8 k to listen this sound. Go with other brands with bass near 45 HZ for proper bass experience.RGB light effect is awesome. Battery is ok ok. Not value for money. The peice for this item should be near 4500 INR as per performance.Kakore mode is good working with mic.",False,False,['https://m.media-amazon.com/images/I/71xp1HI-jaL._SY88.jpg'],2025-01-19,78,Colour: Premium Black,"[{'key': 'Colour', 'value': 'Premium Black'}]",,,https://www.amazon.in/product-reviews/B0CG5XTL1R?pageNumber=10&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CG5XTL1R&reftag=cm_cr_arp_d_paging_btm_next_10&scope=reviewsAjax0,allStars,,B0CG5XTL1R,B0CG5XTL1R,B0CG5XTL1R,"{'price': None, 'listPrice': None}",https://www.amazon.in//boAt-Partypal-300-Signature-Bluetooth/dp/B0CG5XTL1R/ref=zg_bs_g_1389365031_d_sccl_28/261-0975833-5917763?psc=1,India,
