reviewedIn,userId,userProfileLink,ratingScore,reviewTitle,reviewId,reviewUrl,reviewReaction,reviewDescription,isVerified,isAmazonVine,reviewImages,date,position,variant,variantAttributes,totalCategoryRatings,totalCategoryReviews,reviewCategoryUrl,filterByRating,filterByKeyword,productAsin,productOriginalAsin,variantAsin,product,input,country,countryCode
Reviewed in India on 14 January 2025,amzn1.account.AGJN26NTUYUOKZPGOBSRIHWMUAOQ,https://www.amazon.in/gp/profile/amzn1.account.AGJN26NTUYUOKZPGOBSRIHWMUAOQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Compact yet powerful!,R21Y5WI1JIEKN9,https://www.amazon.in/gp/customer-reviews/R21Y5WI1JIEKN9/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,3 people found this helpful,"The media could not be loaded.
                
            
                
            
        
    
    








  
  
     This pTron Mini Bluetooth Speaker with mic is such a cute and fun speaker. The sound quality is good for a small room and is clear and punchy at 16w. The wireless mic connects easily to the speaker and you can have a small karaoke party. There are funny changing voices in the mic. Speaker is lightweight yet well built. Works for around 4-5 hours on BT Mode and RGB lights on. Overall value for money product.",True,False,"['https://m.media-amazon.com/images/I/71+o8JaRKsL._SY88.jpg', 'https://m.media-amazon.com/images/I/7198zkL8mJL._SY88.jpg']",2025-01-14,1,Colour: Cream Pink,"[{'key': 'Colour', 'value': 'Cream Pink'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 26 December 2024,amzn1.account.AGLHPRURAYV5FFO6DPL74W5IMFDA,https://www.amazon.in/gp/profile/amzn1.account.AGLHPRURAYV5FFO6DPL74W5IMFDA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Addictive fun!,R3HHT32EJJR1X7,https://www.amazon.in/gp/customer-reviews/R3HHT32EJJR1X7/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,5 people found this helpful,"I recently bought this small Bluetooth speaker with a microphone for my kids, and it's been a hit! The sound quality is excellent for its size, and the volume control is perfect for little ears. The built-in microphone is a game-changer, allowing my kids to sing along to their favorite songs and even practice speeches. It's lightweight and durable, ideal for playtime both indoors and outdoors. Pairing with devices is easy, and the bright, kid-friendly design makes it even more appealing. Highly recommend for any young music lover!",True,False,[],2024-12-26,2,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 28 November 2024,amzn1.account.AFNZD3M5KWQ6FOQS2ONC5XDRFINQ,https://www.amazon.in/gp/profile/amzn1.account.AFNZD3M5KWQ6FOQS2ONC5XDRFINQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,"GOOD PRODUCT, VALUE FOR MONEY",R39M9FM8BXHNLQ,https://www.amazon.in/gp/customer-reviews/R39M9FM8BXHNLQ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,5 people found this helpful,"GOOD PRODUCT, VALUE FOR MONEYDOSE MY JOB, SPEACKER QUALITY IS GOOD, ALSO MICROPHONE QUALITY IS GOOD,GOOD FOR CHILDERN PLAYING, ALL THE FEATURES ARE WORKING FINE, RECOMENDED",True,False,[],2024-11-28,3,Colour: Blue,"[{'key': 'Colour', 'value': 'Blue'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 15 January 2025,amzn1.account.AF7WQOFWNNYWZ36U5O6MCKPJRK4Q,https://www.amazon.in/gp/profile/amzn1.account.AF7WQOFWNNYWZ36U5O6MCKPJRK4Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Awesome product in little price range .,RSNOTJYUO8JM5,https://www.amazon.in/gp/customer-reviews/RSNOTJYUO8JM5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,One person found this helpful,Awesome sound quality with a great battery life. Compact in size which make it easy to carry with you. The overall performance is wonderful.,True,False,[],2025-01-15,4,Colour: Cream/Black,"[{'key': 'Colour', 'value': 'Cream/Black'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 13 October 2024,amzn1.account.AFRURSSKDOZYNWCTA2EVOHDDUXRA,https://www.amazon.in/gp/profile/amzn1.account.AFRURSSKDOZYNWCTA2EVOHDDUXRA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good product pesa vasool item,R2K5ZX1RLPKPDS,https://www.amazon.in/gp/customer-reviews/R2K5ZX1RLPKPDS/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,13 people found this helpful,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     I saw this a few days ago and I ordered it. It is a very good value for money product. After getting it, my kids are very happy.This is very good in terms of entertainment value The quality of the mic that comes with it is also very good, its grip quality is also good, this mic has four-five modes in which the sound can be opened in different ways and it is also very easy to carry Once charged, the battery lasts for two days and charging is also very fast . The mic functionality is great The sound & Bass quality of this speaker is also very good, it produces a good echo sound . good RGB LED light like diskoThankyou Amazon for this Amazing product...",True,False,"['https://m.media-amazon.com/images/I/711PjMuudyL._SY88.jpg', 'https://m.media-amazon.com/images/I/71MPraTHxnL._SY88.jpg', 'https://m.media-amazon.com/images/I/71yyqBXTarL._SY88.jpg']",2024-10-13,5,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 2 January 2025,amzn1.account.AG4T6X6XSM52VMM6SGMIL25AU27A,https://www.amazon.in/gp/profile/amzn1.account.AG4T6X6XSM52VMM6SGMIL25AU27A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Sounds Quality is very Nice,R3BWQDD4CNJI6L,https://www.amazon.in/gp/customer-reviews/R3BWQDD4CNJI6L/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,2 people found this helpful,"Loudness of Sound is very good, it's very fantastic product for Enjoying party because voice effect is super when singing song , multiple voice effect Make unique this product, karaoke is Good, battery Life Span is sufficient aa per price, it's value for money light effect Make unique this product, overall very fantastic product of ptron as per current price,its friendly user.bass quality is superb.",True,False,['https://m.media-amazon.com/images/I/61xdCB8MIXL._SY88.jpg'],2025-01-02,6,Colour: Cream Pink,"[{'key': 'Colour', 'value': 'Cream Pink'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 24 December 2024,amzn1.account.AFLKF274OHDCSSN4CEY377RORF4A,https://www.amazon.in/gp/profile/amzn1.account.AFLKF274OHDCSSN4CEY377RORF4A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,3,Mic is not working,R3ISTK7QM5SACX,https://www.amazon.in/gp/customer-reviews/R3ISTK7QM5SACX/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,,"We can connect the bluetooth, sound quality is good but mic is not working and I got damaged product",True,False,['https://m.media-amazon.com/images/I/611CeOO61fL._SY88.jpg'],2024-12-24,7,Colour: Light Blue,"[{'key': 'Colour', 'value': 'Light Blue'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 14 December 2024,amzn1.account.AGSTTVKBVSKPYCTRHL3TNC4CTLOA,https://www.amazon.in/gp/profile/amzn1.account.AGSTTVKBVSKPYCTRHL3TNC4CTLOA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Excellent Product @1299/-,R15LT7L8LJK4IO,https://www.amazon.in/gp/customer-reviews/R15LT7L8LJK4IO/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,One person found this helpful,The mic is excellent.It has nice clarity and loud as well. Gr8 product for children as well karoke lovers.Definitely u can go for this product. Low budget mic with speaker are very bad in terms of clarity. But this product won't disappoint u. So don't go for cheap products with 500-600 range.Cons- volume decrease button is there but not so effective.,True,False,"['https://m.media-amazon.com/images/I/61VMDIhxdQL._SY88.jpg', 'https://m.media-amazon.com/images/I/71vMZLkl8uL._SY88.jpg']",2024-12-14,8,Colour: Cream Pink,"[{'key': 'Colour', 'value': 'Cream Pink'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 24 November 2024,amzn1.account.AHGD6C34YWUY772HKXJENN26OCOA,https://www.amazon.in/gp/profile/amzn1.account.AHGD6C34YWUY772HKXJENN26OCOA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Speaker,R1SKKBGUZL0C19,https://www.amazon.in/gp/customer-reviews/R1SKKBGUZL0C19/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,,Received without a charger code,True,False,[],2024-11-24,25,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
Reviewed in India on 29 November 2024,amzn1.account.AHYKZBJOLTT2BUO63TMNG7TFBLTA,https://www.amazon.in/gp/profile/amzn1.account.AHYKZBJOLTT2BUO63TMNG7TFBLTA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Good product,R2WP376OJ7ELPW,https://www.amazon.in/gp/customer-reviews/R2WP376OJ7ELPW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0D76YBGP6,One person found this helpful,Good sound,True,False,[],2024-11-29,26,Colour: Cream Pink,"[{'key': 'Colour', 'value': 'Cream Pink'}]",,,https://www.amazon.in/product-reviews/B0D76YBGP6?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0D76YBGP6&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0D76YBGP6,B0D76YBGP6,B0D76YBGP6,"{'price': None, 'listPrice': None}",https://www.amazon.in//pTron-Launched-Fusion-Bluetooth-Multi-Play/dp/B0D76YBGP6/ref=zg_bs_g_1389365031_d_sccl_12/261-0975833-5917763?psc=1,India,
