ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,One of my best buy,R20QYSXOBSPGQ6,https://www.amazon.in/gp/customer-reviews/R20QYSXOBSPGQ6/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,"I love it . It is so compact and sturdy . One of my best buy .  I want some affordable,light weight and high quality speaker for myself . If you want  something like that then it is a best buy . It has a bluetooth connection which is so easily connected to my android phone . And the clarity of soun it top notch. It takes two hour to charge which stay almost five hours straight . I love these cute speaker.",[],2024-09-11,1,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
5,Mind Blowing Sound Quality,R3TGBK2AS51KMX,https://www.amazon.in/gp/customer-reviews/R3TGBK2AS51KMX/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     As u can clearly decipher from the title...This was my first time I purchased any speaker and was therefore nervous over which one should I opt for ... Thankfully I crashed into one of the most underrated good quality Speaker with an absolute beast performance in terms of Clarity in the sound check.....The fit-to-fist Size Speaker really makes it quite portable and a perfect fit as ur travel buddy if u don't wanna miss on the latest trendy songs .The Buttons are quite punchy with an average battery life of 1 week at a stretch after ur first charge ....  I can guarantee u if ur actually looking for speakers at this high end budget u can absolutely make this ur choice blindly... Also don't forget to trust the Brand Value ....The seamless Connectivity with the latest Bluetooth connectivity of 5.1 makes it connection faster....","['https://m.media-amazon.com/images/I/71OmxGDfVmL._SY88.jpg', 'https://m.media-amazon.com/images/I/71fVqI-yIaL._SY88.jpg']",2024-08-21,2,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
4,Great!,R17DN0PBCMEZO0,https://www.amazon.in/gp/customer-reviews/R17DN0PBCMEZO0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     The speakers are great, the functionality is good you can use this anywhere. The design is sleek and great, the feel is quite nice because the speaker has no plastic and has mesh design on the speaker itself and rubber texture on the sides. The clarity is great but there is a very little distortion on highest sound but still the sound is really clear. The buttons are clicks and there are 2 buttons, 1 for on and off and one for bluetooth. The bluetooth is good you can connect to it pretty fast. The sound has good bass and the sound is really balanced . I like the sound but there is 1 problem, the speakers are front facing so it's best only when they are faced directly to you. Which is not that good but still okay, it would be good if it had 360 speakers",[],2025-01-21,3,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
5,Great Purchase,R2XHN4PA07PIC2,https://www.amazon.in/gp/customer-reviews/R2XHN4PA07PIC2/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,"Great purchase..good battery life, great sound quality and pairs very easily. Good range as well. Over all great performance. Good small pocket friendly size as well. Definitely worth the price and a good pruchase. JBL always is reliable!",[],2024-10-07,4,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
5,Unmatched Sound Quality in a Compact Package!,R1M9W1GE9BG4SX,https://www.amazon.in/gp/customer-reviews/R1M9W1GE9BG4SX/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,"The JBL Go 3 exceeds expectations in every way. Its portability, sound quality, durability, and stylish design make it an outstanding choice for anyone seeking a portable Bluetooth speaker. Whether for casual listening at home or taking it on your next adventure, this little powerhouse delivers a fantastic audio experience wherever you go.Highly recommended!",[],2024-09-30,5,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
5,Superb build quality and sound is really good,R1GQ3EALKXTNOA,https://www.amazon.in/gp/customer-reviews/R1GQ3EALKXTNOA/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,Best for house party and get together best product and the sound quality is very good the bass is also good go for it good product,['https://m.media-amazon.com/images/I/71SutpR9vyL._SY88.jpg'],2024-12-07,6,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
4,Sound was amazing,R2PJJOIUKG4TUV,https://www.amazon.in/gp/customer-reviews/R2PJJOIUKG4TUV/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,"Battery backup , sound quality, size and everything is up to the mark I like it some time connectivity issue with other devices rest it’s working fine with my I phone",[],2025-01-18,7,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
5,Good Sound clearty,R233OMEQOG6TD5,https://www.amazon.in/gp/customer-reviews/R233OMEQOG6TD5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,Value of money,['https://m.media-amazon.com/images/I/71-HASPBRzL._SY88.jpg'],2025-01-14,8,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
4,"Good sound quality,but pricey.",R1C6OZI6YUFP1S,https://www.amazon.in/gp/customer-reviews/R1C6OZI6YUFP1S/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,At louder volumes the sound quality deteriorates.No facility for extra attachments.,[],2024-10-18,33,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
4,Mini Sound bar😍😍,R1M8K554V52XAP,https://www.amazon.in/gp/customer-reviews/R1M8K554V52XAP/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B08FB396L1,After using Infinity fuze pint (1.5 years) - battery switched off frequently when it goes below 50%.Recently bought this chota beast- 200% completely satisfied - JBL known for its sound quality & you won't find this clarity anywhere with any brand ( Sorry Boat users🙏🙏) I'm happy with the purchase.,['https://m.media-amazon.com/images/I/71pY8mbSseL._SY88.jpg'],2024-09-16,34,"Colour: BLUE, Size: Standard, Pattern Name: Speaker",
