ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,This Speaker is a Legend,R36KXTP08S1FPA,https://www.amazon.in/gp/customer-reviews/R36KXTP08S1FPA/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"I purchased this product at Rs 999 on October 2022 and I am writing this review on 24 January 2024. Its been 1.3 years I am using it, and honestly speaking this is a master piece. At this price this is too good. The sound Quality is like a home theater. The bass quality of the speaker is vey good. It takes around 3 hours to charge and I can use it for around 1.5 months. This is very portable and worth purchasing at this price.",[],2024-01-24,1,Style Name: Zeb-Astra 20,
4,Performance is as good as the price,R38N6N5VK1L9IP,https://www.amazon.in/gp/customer-reviews/R38N6N5VK1L9IP/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"I bought this speaker in October 23. I was very happy with the overall performance. Unfortunately, exactly after 1 year, it became a nuisance. It stopped getting charged. Luckily I found a Zebronics service centre and visited it. The charging port was repaired and the speaker is performing beautifully. Considering the price, the product is very good.",[],2024-12-31,2,Style Name: Zeb-Astra 20,
1,Bad sound quality,RL0D89O4SE3CF,https://www.amazon.in/gp/customer-reviews/RL0D89O4SE3CF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Very low sound 😕,[],2025-01-19,3,Style Name: Zeb-Astra 20,
5,Good product,R39515A9KKIR9V,https://www.amazon.in/gp/customer-reviews/R39515A9KKIR9V/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Nice,[],2024-12-24,4,Style Name: Zeb-Astra 20,
3,Good for normal use but cables are worst,R18VWIW4X7I10Y,https://www.amazon.in/gp/customer-reviews/R18VWIW4X7I10Y/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,The soundbox is good but the Aux cable and the charger are pathetic. Zebronics should have provided a better cables. It automatically broke at the bending point after 5-6 months. Now with other cables also it is not charging properly.,['https://m.media-amazon.com/images/I/71RSp929WdL._SY88.jpg'],2024-10-12,5,Style Name: Zeb-Astra 20,
5,Battery backup is unbelievable more than twenty hour,R1L2NVBBLUNPP9,https://www.amazon.in/gp/customer-reviews/R1L2NVBBLUNPP9/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,An amazing product thanks to Amazon,[],2025-01-21,6,Style Name: Zeb-Astra 20,
4,Bluetooth is good,R6O6H45DWZPLF,https://www.amazon.in/gp/customer-reviews/R6O6H45DWZPLF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Bluetooth connection is next level but fm mode not work,[],2025-01-24,7,Style Name: Zeb-Astra 20,
5,ZEBRONICS BLUETOOTH SPEAKER,R2YM11IG189XTD,https://www.amazon.in/gp/customer-reviews/R2YM11IG189XTD/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Nice product having good sound quality 👌,[],2024-12-13,8,Style Name: Zeb-Astra 20,
4,Good product,RKD0EL57P6QR7,https://www.amazon.in/gp/customer-reviews/RKD0EL57P6QR7/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Product is really nice but the aux i received in the box was duplicate it doesn't work at all and aux length was too short,['https://m.media-amazon.com/images/I/716tqOI8BtL._SY88.jpg'],2024-06-18,41,Style Name: Zeb-Astra 20,
4,Good,R4T5E319FGQDM,https://www.amazon.in/gp/customer-reviews/R4T5E319FGQDM/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Good product worthable to use. Charging adapter is not given drawback.,[],2024-07-08,42,Style Name: Zeb-Astra 20,
4,Value for money.,RVJJ9H91TXGQ3,https://www.amazon.in/gp/customer-reviews/RVJJ9H91TXGQ3/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"It is not Apple or Bose but it is something I purchased it @ 699 only and even after that got some money back so it’s good and if it’s around 700, buy it.",[],2024-05-24,43,Style Name: Zeb-Astra 20,
4,"Read Below, it will help",R1BDJF2QFL54C0,https://www.amazon.in/gp/customer-reviews/R1BDJF2QFL54C0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"The media could not be loaded.
                
            
                
            
        
    
    








  
  
     Nice, good for INR 1000. Buy it, if you don't like it you can return. But you gonna like it for sure. Build is good. Bass is great overall sound quality is quite good in this price actually better than expected. Well this is my first impression and after 1 one day of usage. It feels promising, don't know how long it will be working. If I found any problem in this I will update my review for sure. But, ya you can buy it. Don't get distracted by negative reviews, cause they are the peoples who want BMW at the price of Maruti Suzuki, which is possible only in dreams. You are still reading this, go...add this to your cart and proceed to buy. Trust me you gonna like it.",[],2023-06-18,44,Style Name: Zeb-Astra 20,
2,"Good speakers, charging problem",R2TXPGXKOD895E,https://www.amazon.in/gp/customer-reviews/R2TXPGXKOD895E/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"Even though the sound bar has amazing sound quality and durable battery, the product uses Micro USB pin to charge and is defective, repaired once but ineffective.Pls upgrade to Type C charging port.",[],2024-10-23,45,Style Name: Zeb-Astra 20,
4,In budget good quality product,R1UZVLG03D24UF,https://www.amazon.in/gp/customer-reviews/R1UZVLG03D24UF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"Speaker are clear voice & sound, many functions are attach with the instrument... I am happy with this.",[],2024-06-11,46,Style Name: Zeb-Astra 20,
2,ZEBRONICS Zeb-Astra 20,R106E2UKW8CEZW,https://www.amazon.in/gp/customer-reviews/R106E2UKW8CEZW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"Good Product but FM not working.Please ask to product manufacture before place of order.@ Amazon customer support team,Please solve the highlighted issue on priority basis.",[],2024-10-23,47,Style Name: Zeb-Astra 20,
3,Work Seiyavillai Rupees 699  innum thirumba varavillai Repand,RKSAWQ6DX8J9J,https://www.amazon.in/gp/customer-reviews/RKSAWQ6DX8J9J/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Zepranics Blue Thooth Speakar work Seiyyavillai,"['https://m.media-amazon.com/images/I/61LBQhU2SqL._SY88.jpg', 'https://m.media-amazon.com/images/I/61ZVYAAizZL._SY88.jpg']",2024-07-17,48,Style Name: Zeb-Astra 20,
4,Good product...,R2WG941VI3FREF,https://www.amazon.in/gp/customer-reviews/R2WG941VI3FREF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"Good product.. economical.. sound quality is good, just suggest to improve quality of sd card holder.....🙂🙂",['https://m.media-amazon.com/images/I/51tK94v2vHL._SY88.jpg'],2024-08-13,33,Style Name: Zeb-Astra 20,
2,It get worse after using for a month,R363YLUMA2X7JU,https://www.amazon.in/gp/customer-reviews/R363YLUMA2X7JU/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"I wouldn't recommend u to buy this....after using for some time ..even if u go 5 m away it stop playing the song...even if you block the box with clothes it will stop playing the musicTT . A waste of money and after using for 2 months , the button got stuck...you will need the power of Hulk to switch on the box.Specially the battery life so bad....so mess .",[],2024-10-08,34,Style Name: Zeb-Astra 20,
3,Chargering cable is defective,R3OAOR2U0U4J5V,https://www.amazon.in/gp/customer-reviews/R3OAOR2U0U4J5V/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,I am having this speaker very good sound and  vocal. However connectivity problem is there you can set in room in 2 meter diatance. Yes but no any other problem,[],2024-08-12,35,Style Name: Zeb-Astra 20,
4,Good product h boss  and Amazon  was a grate packing,R28A56AM7DTG9Z,https://www.amazon.in/gp/customer-reviews/R28A56AM7DTG9Z/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Tha sound quality supper  spilsly 52mm speaker  was so 🔥 👌 💯 good  and Amazon packing was too butteyfull 😍😍🥰,"['https://m.media-amazon.com/images/I/81EVIJDfRqL._SY88.jpg', 'https://m.media-amazon.com/images/I/81SX0hP0i4L._SY88.jpg']",2024-07-11,36,Style Name: Zeb-Astra 20,
4,battery backup,R3RCQBN6KCPRJT,https://www.amazon.in/gp/customer-reviews/R3RCQBN6KCPRJT/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,sound and bass is good but battery backup is very poor. Only 1 or 2 hr battery backup,['https://m.media-amazon.com/images/I/71oGD4cVXpL._SY88.jpg'],2024-07-13,37,Style Name: Zeb-Astra 20,
4,Bass is medium,R3V67U4S4SZ37C,https://www.amazon.in/gp/customer-reviews/R3V67U4S4SZ37C/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Bass is quite lessSound is ok  for the money,[],2024-07-22,38,Style Name: Zeb-Astra 20,
4,product,R3IASNK2QV0L41,https://www.amazon.in/gp/customer-reviews/R3IASNK2QV0L41/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,i like the whole product design,[],2024-07-31,39,Style Name: Zeb-Astra 20,
4,Its worthy to buy,R1VAVD4L0VSYUI,https://www.amazon.in/gp/customer-reviews/R1VAVD4L0VSYUI/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,The product is good & sound quality is also nice. The BASE is not much better but very nice at this price.,['https://m.media-amazon.com/images/I/71tDWvZ8GRL._SY88.jpg'],2024-06-21,40,Style Name: Zeb-Astra 20,
4,good,RATPN0GK2G5HN,https://www.amazon.in/gp/customer-reviews/RATPN0GK2G5HN/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"nice product, value for money",[],2024-11-26,9,Style Name: Zeb-Astra 20,
4,Good sound quality,R2X0YLCSBHMNQH,https://www.amazon.in/gp/customer-reviews/R2X0YLCSBHMNQH/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"This speaker have avarage sound (not louder) but good sound quality. Then also connectivity length is low, avarage 3 meter.chaging speed is taken 2 hours battery quality is good.","['https://m.media-amazon.com/images/I/714tt-MwJxL._SY88.jpg', 'https://m.media-amazon.com/images/I/812eNKkw-1L._SY88.jpg']",2024-10-22,10,Style Name: Zeb-Astra 20,
4,Value for money,R2F7RIQLGSDATQ,https://www.amazon.in/gp/customer-reviews/R2F7RIQLGSDATQ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,"Original company product ,,clarity of voice ,easy to use and connectivity also good",['https://m.media-amazon.com/images/I/71a0pkwpVOL._SY88.jpg'],2024-10-30,11,Style Name: Zeb-Astra 20,
4,Good,R19RFN8WOIX5QW,https://www.amazon.in/gp/customer-reviews/R19RFN8WOIX5QW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B12K5BPM,Received in good condition. Soind quality is good,[],2024-10-28,12,Style Name: Zeb-Astra 20,
