ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,Get the Party Started 🎶🎶,R1EDKFZW96MQGC,https://www.amazon.in/gp/customer-reviews/R1EDKFZW96MQGC/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The pTron Fusion Quad V2 40W Bluetooth Karaoke Party Speaker is quite the party starter! With its 40W immersive stereo sound and vivid RGB lights, it's sure to get the party going.40W immersive stereo sound with full-range.Comes with a 3-meter wired karaoke microphone and mic volume control.5 equalizer settings to tailor the sound to your tasteBluetooth V5.1, USB, SD card, and aux playback.Type-C charging for easy powering.Lightweight and portable design for indoor/outdoor use.",[],2024-10-24,58,Colour: Satin Black,
5,Best quality product,RQD854PKWX4RV,https://www.amazon.in/gp/customer-reviews/RQD854PKWX4RV/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Ptron name is enough.Good connectivityValue of moneyGood performancePunchy sound qualityLooking precious",[],2025-01-06,59,Colour: Jade Black,
5,Quality of Product,R2J6VRMMVRDR7U,https://www.amazon.in/gp/customer-reviews/R2J6VRMMVRDR7U/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Got the pTron Fusion Theatre V2, and it's an owseom.This 60W speaker delivers very good sound with deep bass. The rhythmic RGB lights really set the vibe for party. It 3-meter wired mic, which is perfect.Good to switch for BT/USb/SD.Type-C charging is convenient for charges. Battery life is very good, making it perfect for long party nights.I recommend this speaker, if you're looking for house parties or outdoor parties #PartySpeaker",[],2024-10-24,60,Colour: Jade Black,
5,Ptron 40W party speaker,R9ZB135UVD7TR,https://www.amazon.in/gp/customer-reviews/R9ZB135UVD7TR/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Absolutely love the pTron 40W Party Speaker! The sound quality is impressive, with deep bass and clear highs that really enhance any gathering. The battery life is excellent, lasting through hours of playtime, and the portability makes it easy to take anywhere. The built-in LED lights add a fun atmosphere to parties. Overall, it’s a fantastic speaker for its price, delivering powerful performance and versatility. Highly recommend it for anyone looking to elevate their music experience!",[],2024-10-29,61,Colour: Satin Black,
5,It's heavy bass and weight is light we carried this to party and ejoyed,R83UKJWVEO2NF,https://www.amazon.in/gp/customer-reviews/R83UKJWVEO2NF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,It is One of my bestest speaker I got battery backup as 3-4 hours bass is really heavy and one thing is it's light weight so we can carry this it's charging speed is little bit slow because it gives high output.,['https://m.media-amazon.com/images/I/71w1SCKw1cL._SY88.jpg'],2024-11-25,62,Colour: Jade Black,
5,Good product,R2I8H1SD9OIGAN,https://www.amazon.in/gp/customer-reviews/R2I8H1SD9OIGAN/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Giving review after use it for some days. This is very good 60w from ptron. I brought it for my baby she is very happy. Rgb lights are look cool at night. Its also have a mic for karaoke. Its support type C charging and long battery backup. Value for money product.,[],2024-11-19,63,Colour: Jade Black,
2,Ok,R1TDNY817E0Q7A,https://www.amazon.in/gp/customer-reviews/R1TDNY817E0Q7A/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Bast,['https://m.media-amazon.com/images/I/61A5WLuB6eL._SY88.jpg'],2024-12-02,64,Colour: Satin Black,
5,Amazing product,R2FWILY6BQ5KA1,https://www.amazon.in/gp/customer-reviews/R2FWILY6BQ5KA1/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"I loved it's design.lt has RGB lights,MIC and 40W stereo sound.lt has best bluetooth connectivity.",['https://m.media-amazon.com/images/I/612PA+2k1jL._SY88.jpg'],2025-01-07,41,Colour: Satin Black,
2,Improve the exact 60w bass quality.,RFA7L2P573O30,https://www.amazon.in/gp/customer-reviews/RFA7L2P573O30/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Bass very poor and no instruction and guid bookler and also no warranty card inside the box. 60 wattis means heavy bass . but this product is very light bass it's approx 5-10w bass. I dislike the bass.,[],2024-11-24,42,Colour: Jade Black,
5,Awesome Product.,R39LBXXI2R2OAZ,https://www.amazon.in/gp/customer-reviews/R39LBXXI2R2OAZ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,The Ptron party speaker's sound is really great comes with 40W. We can connect it with TV and its working really well.,[],2025-01-03,43,Colour: Satin Black,
5,Very good,R359W6MHQDDNS4,https://www.amazon.in/gp/customer-reviews/R359W6MHQDDNS4/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Very good quality",[],2025-01-24,44,Colour: Satin Black,
5,Nice item,R3HH8HFXSB9MV5,https://www.amazon.in/gp/customer-reviews/R3HH8HFXSB9MV5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Good quality stuff for the price. Can't expect more. The battery level is a little weired so don't expect it to last too long.,[],2024-12-29,45,Colour: Satin Black,
5,Superb product,R1VGAW3Z5D7V9A,https://www.amazon.in/gp/customer-reviews/R1VGAW3Z5D7V9A/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Product quality is tooo good,[],2025-01-06,46,Colour: Jade Black,
